CLASS	CATEGORY	SCORE
Rich people	"good education, high qualification"	28
Middle class	"good education, high qualification"	33
Poor	"good education, high qualification"	18
Rich people	the presence of initial capital	15
Middle class	the presence of initial capital	23
Poor	the presence of initial capital	27
Rich people	"entrepreneurial spirit, courage"	27
Middle class	"entrepreneurial spirit, courage"	16
Poor	"entrepreneurial spirit, courage"	16
Rich people	hard work	38
Middle class	hard work	27
Poor	hard work	16
Rich people	"fotune, good luck"	13
Middle class	"fotune, good luck"	15
Poor	"fotune, good luck"	12
Rich people	connections to the right people	9
Middle class	connections to the right people	32
Poor	connections to the right people	39
Rich people	"abilities, talents"	13
Middle class	"abilities, talents"	8
Poor	"abilities, talents"	7
Rich people	"cunning, cheating"	11
Middle class	"cunning, cheating"	21
Poor	"cunning, cheating"	32
